v1	V(vo)
-1.000000000000000e+001	-5.428245e+000
-9.900000000000000e+000	-5.417944e+000
-9.800000000000001e+000	-5.407654e+000
-9.700000000000001e+000	-5.397351e+000
-9.600000000000001e+000	-5.387023e+000
-9.500000000000002e+000	-5.376670e+000
-9.400000000000002e+000	-5.366288e+000
-9.300000000000003e+000	-5.355878e+000
-9.200000000000003e+000	-5.345438e+000
-9.100000000000003e+000	-5.334967e+000
-9.000000000000004e+000	-5.324463e+000
-8.900000000000004e+000	-5.313925e+000
-8.800000000000004e+000	-5.303350e+000
-8.700000000000005e+000	-5.292738e+000
-8.600000000000005e+000	-5.282086e+000
-8.500000000000005e+000	-5.271392e+000
-8.400000000000006e+000	-5.260654e+000
-8.300000000000006e+000	-5.249869e+000
-8.200000000000006e+000	-5.239035e+000
-8.100000000000007e+000	-5.228149e+000
-8.000000000000007e+000	-5.217207e+000
-7.900000000000008e+000	-5.206206e+000
-7.800000000000008e+000	-5.195142e+000
-7.700000000000008e+000	-5.184011e+000
-7.600000000000009e+000	-5.172809e+000
-7.500000000000009e+000	-5.161530e+000
-7.400000000000009e+000	-5.150168e+000
-7.300000000000010e+000	-5.138717e+000
-7.200000000000010e+000	-5.127171e+000
-7.100000000000010e+000	-5.115520e+000
-7.000000000000011e+000	-5.103756e+000
-6.900000000000011e+000	-5.091868e+000
-6.800000000000011e+000	-5.079846e+000
-6.700000000000012e+000	-5.067675e+000
-6.600000000000012e+000	-5.055339e+000
-6.500000000000012e+000	-5.042821e+000
-6.400000000000013e+000	-5.030100e+000
-6.300000000000013e+000	-5.017150e+000
-6.200000000000014e+000	-5.003942e+000
-6.100000000000014e+000	-4.990439e+000
-6.000000000000014e+000	-4.976597e+000
-5.900000000000015e+000	-4.962362e+000
-5.800000000000015e+000	-4.947664e+000
-5.700000000000015e+000	-4.932418e+000
-5.600000000000016e+000	-4.916507e+000
-5.500000000000016e+000	-4.899781e+000
-5.400000000000016e+000	-4.882030e+000
-5.300000000000017e+000	-4.862958e+000
-5.200000000000017e+000	-4.842131e+000
-5.100000000000017e+000	-4.818875e+000
-5.000000000000018e+000	-4.792103e+000
-4.900000000000018e+000	-4.759758e+000
-4.800000000000019e+000	-4.718649e+000
-4.700000000000019e+000	-4.663090e+000
-4.600000000000019e+000	-4.587983e+000
-4.500000000000020e+000	-4.497005e+000
-4.400000000000020e+000	-4.399327e+000
-4.300000000000020e+000	-4.299847e+000
-4.200000000000021e+000	-4.199959e+000
-4.100000000000021e+000	-4.099981e+000
-4.000000000000021e+000	-3.999988e+000
-3.900000000000021e+000	-3.899991e+000
-3.800000000000021e+000	-3.799994e+000
-3.700000000000021e+000	-3.699996e+000
-3.600000000000021e+000	-3.599997e+000
-3.500000000000021e+000	-3.499998e+000
-3.400000000000021e+000	-3.399998e+000
-3.300000000000021e+000	-3.299999e+000
-3.200000000000021e+000	-3.199999e+000
-3.100000000000021e+000	-3.099999e+000
-3.000000000000020e+000	-3.000000e+000
-2.900000000000020e+000	-2.900000e+000
-2.800000000000020e+000	-2.800000e+000
-2.700000000000020e+000	-2.700000e+000
-2.600000000000020e+000	-2.600000e+000
-2.500000000000020e+000	-2.500000e+000
-2.400000000000020e+000	-2.400000e+000
-2.300000000000020e+000	-2.300000e+000
-2.200000000000020e+000	-2.200000e+000
-2.100000000000020e+000	-2.100000e+000
-2.000000000000020e+000	-2.000000e+000
-1.900000000000020e+000	-1.900000e+000
-1.800000000000019e+000	-1.800000e+000
-1.700000000000019e+000	-1.700000e+000
-1.600000000000019e+000	-1.600000e+000
-1.500000000000019e+000	-1.500000e+000
-1.400000000000019e+000	-1.400000e+000
-1.300000000000019e+000	-1.300000e+000
-1.200000000000019e+000	-1.200000e+000
-1.100000000000019e+000	-1.100000e+000
-1.000000000000019e+000	-1.000000e+000
-9.000000000000187e-001	-9.000000e-001
-8.000000000000187e-001	-8.000000e-001
-7.000000000000187e-001	-7.000000e-001
-6.000000000000187e-001	-6.000000e-001
-5.000000000000188e-001	-5.000000e-001
-4.000000000000188e-001	-4.000000e-001
-3.000000000000188e-001	-3.000000e-001
-2.000000000000188e-001	-2.000000e-001
-1.000000000000188e-001	-1.000000e-001
-1.879052469178077e-014	-2.032901e-014
9.999999999998122e-002	1.000000e-001
1.999999999999812e-001	2.000000e-001
2.999999999999812e-001	3.000000e-001
3.999999999999813e-001	4.000000e-001
4.999999999999812e-001	5.000000e-001
5.999999999999812e-001	6.000000e-001
6.999999999999812e-001	7.000000e-001
7.999999999999812e-001	8.000000e-001
8.999999999999812e-001	9.000000e-001
9.999999999999811e-001	1.000000e+000
1.099999999999981e+000	1.100000e+000
1.199999999999981e+000	1.200000e+000
1.299999999999981e+000	1.300000e+000
1.399999999999982e+000	1.400000e+000
1.499999999999982e+000	1.500000e+000
1.599999999999982e+000	1.600000e+000
1.699999999999982e+000	1.700000e+000
1.799999999999982e+000	1.800000e+000
1.899999999999982e+000	1.900000e+000
1.999999999999982e+000	2.000000e+000
2.099999999999982e+000	2.100000e+000
2.199999999999982e+000	2.200000e+000
2.299999999999982e+000	2.300000e+000
2.399999999999982e+000	2.400000e+000
2.499999999999982e+000	2.500000e+000
2.599999999999982e+000	2.600000e+000
2.699999999999982e+000	2.700000e+000
2.799999999999983e+000	2.800000e+000
2.899999999999983e+000	2.900000e+000
2.999999999999983e+000	3.000000e+000
3.099999999999983e+000	3.099999e+000
3.199999999999983e+000	3.199999e+000
3.299999999999983e+000	3.299999e+000
3.399999999999983e+000	3.399998e+000
3.499999999999983e+000	3.499998e+000
3.599999999999983e+000	3.599997e+000
3.699999999999983e+000	3.699996e+000
3.799999999999983e+000	3.799994e+000
3.899999999999984e+000	3.899991e+000
3.999999999999984e+000	3.999988e+000
4.099999999999984e+000	4.099981e+000
4.199999999999983e+000	4.199958e+000
4.299999999999983e+000	4.299847e+000
4.399999999999983e+000	4.399327e+000
4.499999999999982e+000	4.497005e+000
4.599999999999982e+000	4.587982e+000
4.699999999999982e+000	4.663091e+000
4.799999999999981e+000	4.718667e+000
4.899999999999981e+000	4.759767e+000
4.999999999999981e+000	4.792019e+000
5.099999999999980e+000	4.819037e+000
5.199999999999980e+000	4.842220e+000
5.299999999999979e+000	4.862990e+000
5.399999999999979e+000	4.882045e+000
5.499999999999979e+000	4.899790e+000
5.599999999999978e+000	4.916512e+000
5.699999999999978e+000	4.932421e+000
5.799999999999978e+000	4.947666e+000
5.899999999999977e+000	4.962363e+000
5.999999999999977e+000	4.976598e+000
6.099999999999977e+000	4.990439e+000
6.199999999999976e+000	5.003942e+000
6.299999999999976e+000	5.017151e+000
6.399999999999976e+000	5.030100e+000
6.499999999999975e+000	5.042822e+000
6.599999999999975e+000	5.055339e+000
6.699999999999974e+000	5.067675e+000
6.799999999999974e+000	5.079846e+000
6.899999999999974e+000	5.091868e+000
6.999999999999973e+000	5.103756e+000
7.099999999999973e+000	5.115520e+000
7.199999999999973e+000	5.127171e+000
7.299999999999972e+000	5.138717e+000
7.399999999999972e+000	5.150168e+000
7.499999999999972e+000	5.161530e+000
7.599999999999971e+000	5.172809e+000
7.699999999999971e+000	5.184011e+000
7.799999999999971e+000	5.195142e+000
7.899999999999970e+000	5.206206e+000
7.999999999999970e+000	5.217207e+000
8.099999999999969e+000	5.228149e+000
8.199999999999969e+000	5.239035e+000
8.299999999999969e+000	5.249869e+000
8.399999999999968e+000	5.260654e+000
8.499999999999968e+000	5.271392e+000
8.599999999999968e+000	5.282086e+000
8.699999999999967e+000	5.292738e+000
8.799999999999967e+000	5.303350e+000
8.899999999999967e+000	5.313925e+000
8.999999999999966e+000	5.324463e+000
9.099999999999966e+000	5.334967e+000
9.199999999999966e+000	5.345438e+000
9.299999999999965e+000	5.355878e+000
9.399999999999965e+000	5.366288e+000
9.499999999999965e+000	5.376670e+000
9.599999999999964e+000	5.387023e+000
9.699999999999964e+000	5.397351e+000
9.799999999999963e+000	5.407653e+000
9.899999999999963e+000	5.417932e+000
1.000000000000000e+001	5.428186e+000
