Time (s),Channel 1 (V),Channel 2 (V)
-0.00023625,-0.3761251992914464,-0.4261324900314486
-0.000236175,-0.3772310525043258,-0.427429239801326
-0.0002361,-0.3791692889197174,-0.4289982655392839
-0.000236025,-0.3802167035409872,-0.4298007793245747
-0.00023595,-0.380403229296671,-0.4295878112187805
-0.000235875,-0.3800921349827516,-0.4291761891261452
-0.0002358,-0.379345139919099,-0.4280794381409083
-0.0002357249999999999,-0.3791768712675109,-0.4274636005247691
-0.00023565,-0.3805693966963227,-0.4284113182826559
-0.000235575,-0.3825334130942082,-0.4296634959830862
-0.0002355,-0.3849177096142183,-0.4319214228854401
-0.000235425,-0.3878630106667461,-0.434434439695857
-0.0002353499999999999,-0.3900160703580161,-0.436491205361237
-0.000235275,-0.3928223220547602,-0.4389791268771197
-0.0002352,-0.396284540995391,-0.4418099034523882
-0.000235125,-0.3979433208147098,-0.443386621889625
-0.00023505,-0.3993751951595143,-0.4447100624768494
-0.000234975,-0.4002393052839657,-0.4451765477610779
-0.0002349,-0.4000711357480345,-0.4447176526068041
-0.000234825,-0.3994133447760528,-0.4435601577887487
-0.00023475,-0.3986105178625803,-0.4423108178396085
-0.0002346749999999999,-0.3981082988264728,-0.4414007658167051
-0.0002346,-0.3991105563542244,-0.4419789718876351
-0.000234525,-0.4011377887184073,-0.4434516736340395
-0.00023445,-0.4032920377975637,-0.4450407573730789
-0.000234375,-0.4065248634606782,-0.4478554761508899
-0.0002342999999999999,-0.409004499331556,-0.4500067309565887
-0.000234225,-0.4117466529326518,-0.4523664408178355
-0.00023415,-0.4148634240725037,-0.4552413449954818
-0.000234075,-0.4169582235803445,-0.4569462636907632
-0.000234,-0.4183170100393733,-0.458089489976231
-0.000233925,-0.4186457271171815,-0.4583396337635744
-0.00023385,-0.4184349774948259,-0.4579740311075099
-0.000233775,-0.4176166687156651,-0.456825938477461
-0.0002337,-0.4166799266374632,-0.4554924916828795
-0.0002336249999999999,-0.4168290758787371,-0.4547474281154573
-0.00023355,-0.4183816730942697,-0.4554034843030825
-0.000233475,-0.4201446631157917,-0.4570169909377562
-0.0002334,-0.4223461507172709,-0.4587698778867588
-0.000233325,-0.4246808894085739,-0.4609146252386949
-0.00023325,-0.4270498329132533,-0.4627815350858893
-0.000233175,-0.4299553885871586,-0.4652040743562034
-0.0002331,-0.4325230094271186,-0.4675302554451899
-0.000233025,-0.4343812694185453,-0.469070208478173
-0.0002329499999999999,-0.4357147318271057,-0.4698898285473395
-0.000232875,-0.4357703257993484,-0.4697746204036315
-0.0002328,-0.4351805083452197,-0.4690990190615436
-0.000232725,-0.4345548308462395,-0.4677374682722651
-0.00023265,-0.4334526746473825,-0.4662615640836432
-0.0002325749999999999,-0.4327291006135765,-0.4651662148791638
-0.0002325,-0.4341391893368817,-0.4657382326008966
-0.000232425,-0.4358789466483062,-0.4673045573466642
-0.00023235,-0.4381914437860871,-0.4692280626673609
-0.000232275,-0.4407449406448645,-0.47135495156038
-0.0002322,-0.4429899796662117,-0.4733126580522388
-0.000232125,-0.4457305176820931,-0.4756175844980344
-0.00023205,-0.4484033299692642,-0.4778546898276755
-0.000231975,-0.4497474869572591,-0.479144852367652
-0.0002318999999999999,-0.4507838799174246,-0.4798869300280949
-0.000231825,-0.4507318739319801,-0.4794016403678537
-0.00023175,-0.450161314650087,-0.4785007512045349
-0.000231675,-0.4492282200280771,-0.477399042701986
-0.0002316,-0.4484564262269402,-0.4757031387106
-0.0002315249999999999,-0.4482586508441402,-0.4749075312597723
-0.00023145,-0.4491163977433849,-0.4752038540359673
-0.000231375,-0.4505984047877089,-0.4762998756393463
-0.0002313,-0.4526178070149561,-0.4782527727695816
-0.0002312249999999999,-0.454950712066599,-0.4802869503905607
-0.00023115,-0.4567594736987132,-0.4817645640679109
-0.000231075,-0.4590624656449481,-0.4835200038534149
-0.000231,-0.4617442776338126,-0.48552692082747
-0.000230925,-0.4629762059629197,-0.4863316113617406
-0.0002308499999999999,-0.4633042391426913,-0.4867961706220015
-0.000230775,-0.4628469888803518,-0.4861295611906261
-0.0002307,-0.4619923343896181,-0.4849195964651978
-0.000230625,-0.4610018022441381,-0.4832204558418187
-0.00023055,-0.4594123736503112,-0.4813300462229062
-0.000230475,-0.4593002738417777,-0.4807526721031565
-0.0002304,-0.4604899194314326,-0.4815554594066431
-0.000230325,-0.46203354667997,-0.4827244761787284
-0.00023025,-0.4645805811978855,-0.4844522906263798
-0.0002301749999999999,-0.4667009723684711,-0.4863287850070442
-0.0002301,-0.4688632696390084,-0.488244335506857
