Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000002,-5.918335286663831,60.90849880533575
1063.326571637164,-5.523081431447809,59.33406389989625
1130.663397949641,-5.146329975617828,57.71666931812602
1202.264434617416,-4.780221014655554,56.08212568178214
1278.399719463026,-4.426189664421451,54.42139145760807
1359.356390878528,-4.089636035975478,52.69107595335032
1445.439770745931,-3.767358124394941,50.97679139858839
1536.974515935274,-3.461244374817167,49.26115821641872
1634.305842723141,-3.162368287280379,47.44846873797046
1737.80082874938,-2.890104175918275,45.68517959598384
1847.849797422294,-2.630599282922407,43.93028972951714
1964.867789993472,-2.385723843591316,42.19257993608237
2089.296130854043,-2.158424577672296,40.45083029364603
2221.604091955816,-1.946317712721032,38.70941838904827
2362.290662634467,-1.751286886543759,37.0246108285774
2511.886431509585,-1.570844472051994,35.3643707459217
2670.955587558991,-1.401127514556482,33.73033768513469
2840.098047914219,-1.248195470745892,32.15403214465994
3019.951720402022,-1.10753850395679,30.60644016902926
3211.19490936483,-0.9782512548900112,29.09937212532771
3414.548873833608,-0.8599859246095903,27.64090500278358
3630.780547701021,-0.7532756203944002,26.23930135356247
3860.705432153823,-0.6582147300377574,24.88222032589792
4105.190671273087,-0.5707557367239178,23.58605135864166
4365.158322401669,-0.4911141655452979,22.32189296422422
4641.588833612786,-0.4208197614180101,21.14102186324133
4935.524741394816,-0.3525631814494455,19.99753754874794
5248.074602497733,-0.2971639810294613,18.89655619640308
5580.417174769976,-0.2456134019783235,17.87432155150752
5933.805862753293,-0.2016815346759115,16.8709394516187
6309.573444801943,-0.1575016464969456,15.93148471810635
6709.137099554126,-0.1221423195350216,15.04003132185585
7134.003750712579,-0.08922951731591923,14.19524383830034
7585.775750291851,-0.05993959762435834,13.39341738213625
8066.156921766152,-0.03351719986901264,12.61201574492317
8576.958985908963,-0.008537026231374463,11.89649564211399
9120.108393559114,0.01309878723908028,11.21926672173157
9697.653591082517,0.03174292505923752,10.56674103799156
10311.77274593057,0.0484562499225132,9.949758822904442
10964.78196143186,0.0631615445084216,9.363101472357599
11659.14401179832,0.07369830152774938,8.817105803523326
12397.47763028945,0.08819320280319246,8.305016503572723
13182.56738556409,0.09642442600785608,7.817139533020594
14017.37418346771,0.104515451084929,7.34961847958678
14905.04643386197,0.1192810546974137,6.915360712368056
15848.93192461116,0.1244945283080799,6.518113037588058
16852.59044750753,0.1293127792238698,6.121607181897417
17919.80722375336,0.1277135542611693,5.772060964344917
19054.6071796325,0.1399816514585917,5.40622527858519
20261.27012621145,0.1450521433175061,5.085090583400785
21544.34690031884,0.1501138815724562,4.774482856060523
22908.67652767777,0.1503338811965576,4.504811352970421
24359.40447292029,0.1566534633883213,4.207658584317763
25902.00204531325,0.1587798229949156,3.957346557164399
27542.28703338169,0.1601944731333025,3.701211054348121
29286.4456462524,0.1689371634483936,3.474292602459201
31141.05584446762,0.1633000889156564,3.260703999059899
33113.11214825914,0.1731676053254115,3.058348135115352
35210.05201684524,0.1737272502081792,2.858872862942095
37439.78389823814,0.1727249076421994,2.67493852534799
39810.71705534978,0.173298386445182,2.513821977965577
42331.79328088216,0.1726302270948162,2.351788368593049
45012.52062061341,0.1740017325429946,2.173115619227758
47863.00923226385,0.1751818218741912,2.025906207347539
50894.00951518099,0.1793541787271304,1.895216077396995
54116.95265464643,0.1739147072991909,1.756893378227481
57543.99373371572,0.1776415922977176,1.638824807694306
61188.05757518225,0.1750942709352978,1.509444675521991
65062.8874865558,0.174449494611778,1.397157483794473
69183.09709189369,0.1767201190610107,1.277428049172496
73564.22544596421,0.1753286874666862,1.179693358631706
78222.79563860038,0.1845396134912479,1.069830246437022
83176.37711026717,0.1812741499623494,0.9940882755153098
88443.65191386007,0.1835107957661145,0.8787705900387266
94044.48517263534,0.180023884331476,0.7992872991844777
100000.0000000001,0.1865432663605598,0.7160194145856167
106332.6571637163,0.1828264853209666,0.6117832391784361
113066.339794964,0.1810105629084431,0.5461741078029121
120226.4434617414,0.1839621769383624,0.4544284615318759
127839.9719463024,0.1784594508824983,0.3767651914681593
135935.6390878527,0.1869935753948793,0.3544716053541492
144543.977074593,0.183480736484757,0.2292511664150449
153697.4515935273,0.1824692123670124,0.1520488956707871
163430.5842723139,0.1755950861936171,0.07083500630459838
173780.0828749378,0.1814716760141258,-0.005304972196341851
184784.9797422292,0.1810653643530641,-0.08228024096840159
196486.778999347,0.1789949074825136,-0.1606521945066959
208929.6130854041,0.182360614524088,-0.2387957674089307
222160.4091955814,0.1802239312613475,-0.3132244495909617
236229.0662634465,0.1845265964924561,-0.3919669215231352
251188.6431509582,0.183996275992665,-0.4559656886981571
267095.5587558988,0.1811564347206335,-0.5590883220088187
284009.8047914217,0.1814445706977369,-0.6488123213640122
301995.1720402019,0.1797749388163419,-0.7201530977535811
321119.4909364826,0.1802922241207562,-0.8451838334840716
341454.8873833602,0.1803696367730178,-0.9237124946548363
363078.0547701016,0.1786646434355243,-1.025865429040479
386070.5432153813,0.1817611234115049,-1.123213315133619
410519.0671273081,0.1763540979437334,-1.238180801371715
436515.8322401663,0.1762180988663808,-1.357311462806365
464158.8833612779,0.1769344829981155,-1.466755807867173
493552.4741394809,0.1661674603369518,-1.61067020121363
524807.4602497731,0.1731994820354198,-1.757722334091511
558041.7174769967,0.1700999281437761,-1.901110545496593
593380.5862753284,0.1677844728959828,-2.04886826593124
630957.3444801933,0.1651810642454529,-2.238384865327873
670913.7099554116,0.1609883033440875,-2.408545911188426
713400.3750712569,0.1563691948728884,-2.622126675545019
758577.575029184,0.1499077431566445,-2.859666562863396
806615.692176614,0.1406565205932323,-3.104199626329311
857695.8985908942,0.1296296497568611,-3.378727835621753
912010.8393559101,0.1176886272774072,-3.665133898877784
969765.3591082501,0.1172008820923747,-3.98517279064987
1031177.274593055,0.07952448351463684,-4.394383152569318
1096478.196143186,0.05029283083204261,-4.822027962770846
1165914.401179833,0.01594776611648421,-5.288374259460511
1239747.763028945,-0.03098612602363455,-5.802078832998433
1318256.738556408,-0.08625687513246263,-6.354309167205628
1401737.41834677,-0.153564640609986,-6.942148411038055
1490504.643386197,-0.2346775725900139,-7.541953909777376
1584893.192461115,-0.3300627995409766,-8.168957488260986
1685259.044750752,-0.4362890168805234,-8.787815249010464
1791980.722375334,-0.5460600969588298,-9.405616888252695
1905460.717963247,-0.6688977084838842,-9.974814927893352
2026127.012621144,-0.7976166887897383,-10.56316018238198
2154434.690031885,-0.9327222054578715,-11.11479369867775
2290867.652767773,-1.066599357439037,-11.6300828059898
2435940.447292028,-1.200113780263579,-12.12809258980269
2590200.204531326,-1.330552722465054,-12.58041907418095
2754228.703338167,-1.461889777904853,-13.02119822030244
2928644.564625238,-1.580613524832325,-13.41267870304861
3114105.584446759,-1.699441320338317,-13.77850869899321
3311311.214825912,-1.80850517035261,-14.13691314015387
3521005.201684522,-1.912461929197963,-14.46219994474064
3743978.389823812,-2.009194932568587,-14.7785658521088
3981071.705534974,-2.099359852702886,-15.08398871186678
4233179.328088207,-2.176361823901573,-15.3815133487751
4501252.062061337,-2.24955025832253,-15.64491775439146
4786300.923226386,-2.307179881119374,-15.93623947263546
5089400.95151809,-2.356187241278177,-16.22569292178486
5411695.265464637,-2.387110928897339,-16.51880780380502
5754399.373371567,-2.414059625346011,-16.85434742856543
6118805.75751822,-2.424270677758507,-17.18654069779582
6506288.748655574,-2.416295903256272,-17.49955139530344
