Time (s),Channel 1 (V),Channel 2 (V)
-0.0001024,-0.007196848237029916,-0.01507050383853
-0.000102375,-0.006817091422891827,-0.01465207584335154
-0.00010235,-0.005925466897696391,-0.01367887243404559
-0.000102325,-0.004842579957542374,-0.0129151136807447
-0.0001023,-0.003589195037578923,-0.01170708074571162
-0.000102275,-0.002717095499766418,-0.01046348908266544
-0.00010225,-0.001993223049035971,-0.009388187695924392
-0.000102225,-0.0009494039825701374,-0.008629734530612793
-0.0001022,-0.0002442788636673401,-0.007571994589747649
-0.000102175,5.302835210425301e-05,-0.007468092232413643
-0.00010215,-0.0009442246660146015,-0.007834874963907995
-0.000102125,-0.001446801783217568,-0.008380906987095378
-0.0001021,-0.001819938522795843,-0.008625476608850848
-0.000102075,-0.001710646857372332,-0.008962371816873252
-0.00010205,-0.002752306050285147,-0.009576959906227894
-0.000102025,-0.004038898104859386,-0.0105338696761587
-0.000102,-0.005619925335097036,-0.01253439367003009
-0.000101975,-0.006594348803518022,-0.01332301464508367
-0.00010195,-0.007440250635497106,-0.01428400841707187
-0.000101925,-0.009057336825198516,-0.01566390364878349
-0.0001019,-0.01002071876395656,-0.01693158274648303
-0.000101875,-0.01059915404324282,-0.0181256508477265
-0.00010185,-0.01106157124188627,-0.01814911874898593
-0.000101825,-0.01126462146630463,-0.01876107671020188
-0.0001018,-0.01159045051040189,-0.01921916402744883
-0.000101775,-0.01202775594139233,-0.01942180329726281
-0.00010175,-0.01236693947713978,-0.01950367918325674
-0.000101725,-0.01228167995845648,-0.01985714535406689
-0.0001017,-0.01190802204435894,-0.01969260931383716
-0.000101675,-0.0119671291309553,-0.01991880566690553
-0.00010165,-0.01216169821398518,-0.01940500241677348
-0.000101625,-0.01176565717038405,-0.01914686053977679
-0.0001016,-0.01140049682256896,-0.01871782403519143
-0.000101575,-0.01079501458620257,-0.01821816161255453
-0.00010155,-0.01023152195946541,-0.01766181736565795
-0.000101525,-0.01016198696039764,-0.01756256995292084
-0.0001015,-0.009404942541177016,-0.01709100696957013
-0.000101475,-0.008674381789404642,-0.01635838636167147
-0.00010145,-0.008385630679922063,-0.01608482014753711
-0.000101425,-0.007499798246171926,-0.01515013269379248
-0.0001014,-0.00650789700599498,-0.01417374036152232
-0.000101375,-0.005514761371865811,-0.01336453404876245
-0.00010135,-0.004502986010022256,-0.01231799459612827
-0.000101325,-0.00372897488593786,-0.01113454063371996
-0.0001013,-0.00242589623878422,-0.01040172092183242
-0.000101275,-0.001469066569254597,-0.009295763446520102
-0.00010125,-0.0002984780656092806,-0.008016628462318166
-0.000101225,0.000837621529972643,-0.007132702748306515
-0.0001012,0.001325988165860341,-0.005956114910657337
-0.000101175,0.002140393579105486,-0.005077769145192212
-0.00010115,0.003534378118097981,-0.003832295475393687
-0.000101125,0.003956529478673576,-0.003195235301009682
-0.0001011,0.002446690055100227,-0.003960538295366902
-0.000101075,0.002407577328817137,-0.004313655145339554
-0.00010105,0.002471336871909593,-0.004249514624925446
-0.000101025,0.001773289197690142,-0.005051624598939189
-0.000101,0.0008243276840841521,-0.006036135159326924
