Freq.	V(vout)
1.00000000000000e+000	(-8.81676098205634e+001dB,1.76366679078163e+002°)
1.02329299228075e+000	(-8.77684147985143e+001dB,1.76282275573522e+002°)
1.04712854805090e+000	(-8.73692575540537e+001dB,1.76195922267542e+002°)
1.07151930523761e+000	(-8.69701398522301e+001dB,1.76107574896020e+002°)
1.09647819614318e+000	(-8.65710635398023e+001dB,1.76017188245311e+002°)
1.12201845430196e+000	(-8.61720305489626e+001dB,1.75924716135959e+002°)
1.14815362149688e+000	(-8.57730429011899e+001dB,1.75830111406328e+002°)
1.17489755493953e+000	(-8.53741027112931e+001dB,1.75733325896290e+002°)
1.20226443461741e+000	(-8.49752121916487e+001dB,1.75634310430983e+002°)
1.23026877081238e+000	(-8.45763736565577e+001dB,1.75533014804672e+002°)
1.25892541179417e+000	(-8.41775895268673e+001dB,1.75429387764760e+002°)
1.28824955169313e+000	(-8.37788623347206e+001dB,1.75323376995970e+002°)
1.31825673855641e+000	(-8.33801947285583e+001dB,1.75214929104752e+002°)
1.34896288259165e+000	(-8.29815894782966e+001dB,1.75103989603958e+002°)
1.38038426460288e+000	(-8.25830494807429e+001dB,1.74990502897828e+002°)
1.41253754462275e+000	(-8.21845777652135e+001dB,1.74874412267339e+002°)
1.44543977074593e+000	(-8.17861774994282e+001dB,1.74755659855980e+002°)
1.47910838816821e+000	(-8.13878519956051e+001dB,1.74634186656004e+002°)
1.51356124843621e+000	(-8.09896047167884e+001dB,1.74509932495225e+002°)
1.54881661891248e+000	(-8.05914392835120e+001dB,1.74382836024437e+002°)
1.58489319246111e+000	(-8.01933594806313e+001dB,1.74252834705507e+002°)
1.62181009735893e+000	(-7.97953692645152e+001dB,1.74119864800252e+002°)
1.65958690743756e+000	(-7.93974727704366e+001dB,1.73983861360158e+002°)
1.69824365246174e+000	(-7.89996743203433e+001dB,1.73844758217047e+002°)
1.73780082874937e+000	(-7.86019784308371e+001dB,1.73702487974782e+002°)
1.77827941003892e+000	(-7.82043898215198e+001dB,1.73556982002124e+002°)
1.81970085860998e+000	(-7.78069134236345e+001dB,1.73408170426832e+002°)
1.86208713666287e+000	(-7.74095543890448e+001dB,1.73255982131148e+002°)
1.90546071796325e+000	(-7.70123180994699e+001dB,1.73100344748770e+002°)
1.94984459975804e+000	(-7.66152101762076e+001dB,1.72941184663462e+002°)
1.99526231496888e+000	(-7.62182364899979e+001dB,1.72778427009434e+002°)
2.04173794466953e+000	(-7.58214031714342e+001dB,1.72611995673645e+002°)
2.08929613085404e+000	(-7.54247166215804e+001dB,1.72441813300185e+002°)
2.13796208950223e+000	(-7.50281835230463e+001dB,1.72267801296913e+002°)
2.18776162394955e+000	(-7.46318108513549e+001dB,1.72089879844511e+002°)
2.23872113856834e+000	(-7.42356058867381e+001dB,1.71907967908165e+002°)
2.29086765276777e+000	(-7.38395762262577e+001dB,1.71721983252054e+002°)
2.34422881531992e+000	(-7.34437297963258e+001dB,1.71531842456856e+002°)
2.39883291901949e+000	(-7.30480748655844e+001dB,1.71337460940507e+002°)
2.45470891568503e+000	(-7.26526200581605e+001dB,1.71138752982420e+002°)
2.51188643150958e+000	(-7.22573743672885e+001dB,1.70935631751425e+002°)
2.57039578276886e+000	(-7.18623471693111e+001dB,1.70728009337675e+002°)
2.63026799189538e+000	(-7.14675482379852e+001dB,1.70515796788782e+002°)
2.69153480392691e+000	(-7.10729877592211e+001dB,1.70298904150458e+002°)
2.75422870333816e+000	(-7.06786763460979e+001dB,1.70077240511961e+002°)
2.81838293126445e+000	(-7.02846250542078e+001dB,1.69850714056622e+002°)
2.88403150312660e+000	(-6.98908453973313e+001dB,1.69619232117787e+002°)
2.95120922666638e+000	(-6.94973493634170e+001dB,1.69382701240478e+002°)
3.01995172040201e+000	(-6.91041494307659e+001dB,1.69141027249112e+002°)
3.09029543251359e+000	(-6.87112585845314e+001dB,1.68894115321612e+002°)
3.16227766016837e+000	(-6.83186903333784e+001dB,1.68641870070274e+002°)
3.23593656929628e+000	(-6.79264587263472e+001dB,1.68384195629721e+002°)
3.31131121482591e+000	(-6.75345783698531e+001dB,1.68120995752338e+002°)
3.38844156139202e+000	(-6.71430644447610e+001dB,1.67852173911535e+002°)
3.46736850452531e+000	(-6.67519327235334e+001dB,1.67577633413220e+002°)
3.54813389233575e+000	(-6.63611995873816e+001dB,1.67297277515855e+002°)
3.63078054770101e+000	(-6.59708820432855e+001dB,1.67011009559475e+002°)
3.71535229097172e+000	(-6.55809977409678e+001dB,1.66718733104032e+002°)
3.80189396320560e+000	(-6.51915649895946e+001dB,1.66420352077440e+002°)
3.89045144994280e+000	(-6.48026027742254e+001dB,1.66115770933671e+002°)
3.98107170553496e+000	(-6.44141307718892e+001dB,1.65804894821258e+002°)
4.07380277804112e+000	(-6.40261693671739e+001dB,1.65487629762522e+002°)
4.16869383470335e+000	(-6.36387396672810e+001dB,1.65163882843851e+002°)
4.26579518801592e+000	(-6.32518635163706e+001dB,1.64833562417297e+002°)
4.36515832240165e+000	(-6.28655635091334e+001dB,1.64496578313763e+002°)
4.46683592150962e+000	(-6.24798630034381e+001dB,1.64152842067991e+002°)
4.57088189614874e+000	(-6.20947861319151e+001dB,1.63802267155536e+002°)
4.67735141287197e+000	(-6.17103578123480e+001dB,1.63444769241854e+002°)
4.78630092322637e+000	(-6.13266037567137e+001dB,1.63080266443582e+002°)
4.89778819368445e+000	(-6.09435504786976e+001dB,1.62708679602035e+002°)
5.01187233627271e+000	(-6.05612252995791e+001dB,1.62329932568848e+002°)
5.12861383991364e+000	(-6.01796563521874e+001dB,1.61943952503651e+002°)
5.24807460249771e+000	(-5.97988725829049e+001dB,1.61550670183557e+002°)
5.37031796370252e+000	(-5.94189037513666e+001dB,1.61150020324146e+002°)
5.49540873857623e+000	(-5.90397804277965e+001dB,1.60741941911541e+002°)
5.62341325190348e+000	(-5.86615339877147e+001dB,1.60326378545062e+002°)
5.75439937337156e+000	(-5.82841966037928e+001dB,1.59903278789790e+002°)
5.88843655355588e+000	(-5.79078012346994e+001dB,1.59472596538309e+002°)
6.02559586074356e+000	(-5.75323816107280e+001dB,1.59034291380684e+002°)
6.16595001861481e+000	(-5.71579722159355e+001dB,1.58588328981653e+002°)
6.30957344480192e+000	(-5.67846082667001e+001dB,1.58134681463823e+002°)
6.45654229034654e+000	(-5.64123256863445e+001dB,1.57673327795509e+002°)
6.60693448007594e+000	(-5.60411610758357e+001dB,1.57204254181715e+002°)
6.76082975391980e+000	(-5.56711516801821e+001dB,1.56727454456555e+002°)
6.91830970918935e+000	(-5.53023353504420e+001dB,1.56242930475276e+002°)
7.07945784384136e+000	(-5.49347505012735e+001dB,1.55750692503860e+002°)
7.24435960074988e+000	(-5.45684360637392e+001dB,1.55250759604028e+002°)
7.41310241300916e+000	(-5.42034314333126e+001dB,1.54743160011276e+002°)
7.58577575029182e+000	(-5.38397764130838e+001dB,1.54227931503473e+002°)
7.76247116628690e+000	(-5.34775111519402e+001dB,1.53705121757333e+002°)
7.94328234724279e+000	(-5.31166760778531e+001dB,1.53174788690005e+002°)
8.12830516164097e+000	(-5.27573118261704e+001dB,1.52637000782848e+002°)
8.31763771102669e+000	(-5.23994591630011e+001dB,1.52091837384402e+002°)
8.51138038202374e+000	(-5.20431589037971e+001dB,1.51539388989442e+002°)
8.70963589956078e+000	(-5.16884518272427e+001dB,1.50979757490996e+002°)
8.91250938133743e+000	(-5.13353785846175e+001dB,1.50413056402117e+002°)
9.12010839355907e+000	(-5.09839796048992e+001dB,1.49839411044273e+002°)
9.33254300796988e+000	(-5.06342949958658e+001dB,1.49258958699192e+002°)
9.54992586021433e+000	(-5.02863644415294e+001dB,1.48671848721124e+002°)
9.77237220955808e+000	(-4.99402270962970e+001dB,1.48078242606566e+002°)
9.99999999999997e+000	(-4.95959214762988e+001dB,1.47478314018656e+002°)
1.02329299228075e+001	(-4.92534853483663e+001dB,1.46872248763660e+002°)
1.04712854805090e+001	(-4.89129556171805e+001dB,1.46260244717187e+002°)
1.07151930523760e+001	(-4.85743682112643e+001dB,1.45642511698081e+002°)
1.09647819614318e+001	(-4.82377579683391e+001dB,1.45019271288239e+002°)
1.12201845430196e+001	(-4.79031585208123e+001dB,1.44390756597001e+002°)
1.14815362149688e+001	(-4.75706021820164e+001dB,1.43757211969139e+002°)
1.17489755493953e+001	(-4.72401198340621e+001dB,1.43118892635924e+002°)
1.20226443461741e+001	(-4.69117408178752e+001dB,1.42476064309230e+002°)
1.23026877081238e+001	(-4.65854928264483e+001dB,1.41829002719115e+002°)
1.25892541179416e+001	(-4.62614018017708e+001dB,1.41177993095847e+002°)
1.28824955169313e+001	(-4.59394918364995e+001dB,1.40523329597866e+002°)
1.31825673855640e+001	(-4.56197850809326e+001dB,1.39865314687707e+002°)
1.34896288259165e+001	(-4.53023016561380e+001dB,1.39204258458448e+002°)
1.38038426460288e+001	(-4.49870595738503e+001dB,1.38540477913745e+002°)
1.41253754462275e+001	(-4.46740746639218e+001dB,1.37874296205049e+002°)
1.44543977074592e+001	(-4.43633605097850e+001dB,1.37206041830036e+002°)
1.47910838816820e+001	(-4.40549283925824e+001dB,1.36536047796737e+002°)
1.51356124843620e+001	(-4.37487872445122e+001dB,1.35864650758261e+002°)
1.54881661891248e+001	(-4.34449436115562e+001dB,1.35192190123288e+002°)
1.58489319246111e+001	(-4.31434016262362e+001dB,1.34519007147880e+002°)
1.62181009735892e+001	(-4.28441629904078e+001dB,1.33845444014278e+002°)
1.65958690743755e+001	(-4.25472269683300e+001dB,1.33171842902607e+002°)
1.69824365246174e+001	(-4.22525903900942e+001dB,1.32498545061408e+002°)
1.73780082874937e+001	(-4.19602476653361e+001dB,1.31825889882990e+002°)
1.77827941003892e+001	(-4.16701908071659e+001dB,1.31154213989505e+002°)
1.81970085860998e+001	(-4.13824094660122e+001dB,1.30483850335529e+002°)
1.86208713666286e+001	(-4.10968909732203e+001dB,1.29815127332738e+002°)
1.90546071796324e+001	(-4.08136203938597e+001dB,1.29148368001994e+002°)
1.94984459975804e+001	(-4.05325805884062e+001dB,1.28483889157857e+002°)
1.99526231496887e+001	(-4.02537522827081e+001dB,1.27822000630136e+002°)
2.04173794466952e+001	(-3.99771141457107e+001dB,1.27163004526698e+002°)
2.08929613085403e+001	(-3.97026428741179e+001dB,1.26507194541281e+002°)
2.13796208950222e+001	(-3.94303132835875e+001dB,1.25854855309564e+002°)
2.18776162394954e+001	(-3.91600984054761e+001dB,1.25206261816239e+002°)
2.23872113856833e+001	(-3.88919695884713e+001dB,1.24561678855310e+002°)
2.29086765276776e+001	(-3.86258966043940e+001dB,1.23921360545285e+002°)
2.34422881531991e+001	(-3.83618477573224e+001dB,1.23285549900428e+002°)
2.39883291901948e+001	(-3.80997899953185e+001dB,1.22654478458695e+002°)
2.45470891568502e+001	(-3.78396890239457e+001dB,1.22028365966472e+002°)
2.51188643150957e+001	(-3.75815094208139e+001dB,1.21407420119775e+002°)
2.57039578276885e+001	(-3.73252147505970e+001dB,1.20791836361087e+002°)
2.63026799189537e+001	(-3.70707676795787e+001dB,1.20181797730607e+002°)
2.69153480392690e+001	(-3.68181300892914e+001dB,1.19577474770308e+002°)
2.75422870333815e+001	(-3.65672631885731e+001dB,1.18979025478839e+002°)
2.81838293126444e+001	(-3.63181276234256e+001dB,1.18386595315029e+002°)
2.88403150312659e+001	(-3.60706835842518e+001dB,1.17800317247466e+002°)
2.95120922666637e+001	(-3.58248909099899e+001dB,1.17220311847449e+002°)
3.01995172040200e+001	(-3.55807091887029e+001dB,1.16646687422397e+002°)
3.09029543251358e+001	(-3.53380978543003e+001dB,1.16079540186695e+002°)
3.16227766016837e+001	(-3.50970162791111e+001dB,1.15518954466882e+002°)
3.23593656929627e+001	(-3.48574238620315e+001dB,1.14965002937990e+002°)
3.31131121482590e+001	(-3.46192801120384e+001dB,1.14417746887876e+002°)
3.38844156139201e+001	(-3.43825447269613e+001dB,1.13877236506367e+002°)
3.46736850452530e+001	(-3.41471776674083e+001dB,1.13343511196130e+002°)
3.54813389233574e+001	(-3.39131392256972e+001dB,1.12816599902181e+002°)
3.63078054770100e+001	(-3.36803900899491e+001dB,1.12296521457132e+002°)
3.71535229097171e+001	(-3.34488914031277e+001dB,1.11783284939300e+002°)
3.80189396320559e+001	(-3.32186048173084e+001dB,1.11276890041003e+002°)
3.89045144994279e+001	(-3.29894925430705e+001dB,1.10777327444469e+002°)
3.98107170553495e+001	(-3.27615173942501e+001dB,1.10284579202959e+002°)
4.07380277804111e+001	(-3.25346428280626e+001dB,1.09798619124842e+002°)
4.16869383470333e+001	(-3.23088329809033e+001dB,1.09319413158574e+002°)
4.26579518801591e+001	(-3.20840526997816e+001dB,1.08846919776629e+002°)
4.36515832240164e+001	(-3.18602675697862e+001dB,1.08381090356668e+002°)
4.46683592150961e+001	(-3.16374439375977e+001dB,1.07921869558357e+002°)
4.57088189614873e+001	(-3.14155489313269e+001dB,1.07469195694413e+002°)
4.67735141287196e+001	(-3.11945504769156e+001dB,1.07023001094638e+002°)
4.78630092322636e+001	(-3.09744173111930e+001dB,1.06583212461814e+002°)
4.89778819368444e+001	(-3.07551189919229e+001dB,1.06149751218531e+002°)
5.01187233627270e+001	(-3.05366259049545e+001dB,1.05722533844103e+002°)
5.12861383991362e+001	(-3.03189092687499e+001dB,1.05301472200900e+002°)
5.24807460249770e+001	(-3.01019411364199e+001dB,1.04886473849527e+002°)
5.37031796370250e+001	(-2.98856943955549e+001dB,1.04477442352402e+002°)
5.49540873857622e+001	(-2.96701427659873e+001dB,1.04074277565373e+002°)
5.62341325190346e+001	(-2.94552607956453e+001dB,1.03676875917157e+002°)
5.75439937337154e+001	(-2.92410238547764e+001dB,1.03285130676408e+002°)
5.88843655355586e+001	(-2.90274081285920e+001dB,1.02898932206346e+002°)
6.02559586074355e+001	(-2.88143906086169e+001dB,1.02518168206954e+002°)
6.16595001861479e+001	(-2.86019490828130e+001dB,1.02142723944779e+002°)
6.30957344480190e+001	(-2.83900621246361e+001dB,1.01772482470457e+002°)
6.45654229034652e+001	(-2.81787090812483e+001dB,1.01407324824138e+002°)
6.60693448007593e+001	(-2.79678700608732e+001dB,1.01047130229003e+002°)
6.76082975391978e+001	(-2.77575259196009e+001dB,1.00691776273130e+002°)
6.91830970918933e+001	(-2.75476582475326e+001dB,1.00341139079981e+002°)
7.07945784384134e+001	(-2.73382493546349e+001dB,9.99950934678223e+001°)
7.24435960074986e+001	(-2.71292822561502e+001dB,9.96535130983942e+001°)
