Freq.	V(vi)/I(V1)
1.00000000000000e+000	(5.99998356437148e+001dB,1.79999998126701e+002°)
1.02329299228075e+000	(5.99998356434964e+001dB,1.79999998083158e+002°)
1.04712854805090e+000	(5.99998356432678e+001dB,1.79999998038608e+002°)
1.07151930523761e+000	(5.99998356430317e+001dB,1.79999997993027e+002°)
1.09647819614318e+000	(5.99998356427822e+001dB,1.79999997946392e+002°)
1.12201845430196e+000	(5.99998356425210e+001dB,1.79999997898679e+002°)
1.14815362149688e+000	(5.99998356422463e+001dB,1.79999997849863e+002°)
1.17489755493953e+000	(5.99998356419606e+001dB,1.79999997799919e+002°)
1.20226443461741e+000	(5.99998356416629e+001dB,1.79999997748822e+002°)
1.23026877081238e+000	(5.99998356413493e+001dB,1.79999997696545e+002°)
1.25892541179417e+000	(5.99998356410214e+001dB,1.79999997643061e+002°)
1.28824955169313e+000	(5.99998356406772e+001dB,1.79999997588344e+002°)
1.31825673855641e+000	(5.99998356403185e+001dB,1.79999997532366e+002°)
1.34896288259165e+000	(5.99998356399442e+001dB,1.79999997475097e+002°)
1.38038426460288e+000	(5.99998356395492e+001dB,1.79999997416510e+002°)
1.41253754462275e+000	(5.99998356391392e+001dB,1.79999997356573e+002°)
1.44543977074593e+000	(5.99998356387091e+001dB,1.79999997295258e+002°)
1.47910838816821e+000	(5.99998356382579e+001dB,1.79999997232532e+002°)
1.51356124843621e+000	(5.99998356377872e+001dB,1.79999997168365e+002°)
1.54881661891248e+000	(5.99998356372940e+001dB,1.79999997102725e+002°)
1.58489319246111e+000	(5.99998356367780e+001dB,1.79999997035577e+002°)
1.62181009735893e+000	(5.99998356362381e+001dB,1.79999996966890e+002°)
1.65958690743756e+000	(5.99998356356740e+001dB,1.79999996896628e+002°)
1.69824365246174e+000	(5.99998356350827e+001dB,1.79999996824757e+002°)
1.73780082874937e+000	(5.99998356344658e+001dB,1.79999996751241e+002°)
1.77827941003892e+000	(5.99998356338193e+001dB,1.79999996676044e+002°)
1.81970085860998e+000	(5.99998356331428e+001dB,1.79999996599129e+002°)
1.86208713666287e+000	(5.99998356324363e+001dB,1.79999996520458e+002°)
1.90546071796325e+000	(5.99998356316974e+001dB,1.79999996439993e+002°)
1.94984459975804e+000	(5.99998356309249e+001dB,1.79999996357694e+002°)
1.99526231496888e+000	(5.99998356301168e+001dB,1.79999996273523e+002°)
2.04173794466953e+000	(5.99998356292697e+001dB,1.79999996187437e+002°)
2.08929613085404e+000	(5.99998356283884e+001dB,1.79999996099397e+002°)
2.13796208950223e+000	(5.99998356274628e+001dB,1.79999996009359e+002°)
2.18776162394955e+000	(5.99998356264965e+001dB,1.79999995917281e+002°)
2.23872113856834e+000	(5.99998356254875e+001dB,1.79999995823119e+002°)
2.29086765276777e+000	(5.99998356244314e+001dB,1.79999995726829e+002°)
2.34422881531992e+000	(5.99998356233291e+001dB,1.79999995628366e+002°)
2.39883291901949e+000	(5.99998356221764e+001dB,1.79999995527684e+002°)
2.45470891568503e+000	(5.99998356209702e+001dB,1.79999995424736e+002°)
2.51188643150958e+000	(5.99998356197121e+001dB,1.79999995319475e+002°)
2.57039578276886e+000	(5.99998356183981e+001dB,1.79999995211853e+002°)
2.63026799189538e+000	(5.99998356170241e+001dB,1.79999995101821e+002°)
2.69153480392691e+000	(5.99998356155869e+001dB,1.79999994989329e+002°)
2.75422870333816e+000	(5.99998356140892e+001dB,1.79999994874326e+002°)
2.81838293126445e+000	(5.99998356125233e+001dB,1.79999994756763e+002°)
2.88403150312660e+000	(5.99998356108889e+001dB,1.79999994636586e+002°)
2.95120922666638e+000	(5.99998356091819e+001dB,1.79999994513744e+002°)
3.01995172040201e+000	(5.99998356074006e+001dB,1.79999994388183e+002°)
3.09029543251359e+000	(5.99998356055398e+001dB,1.79999994259849e+002°)
3.16227766016837e+000	(5.99998356036006e+001dB,1.79999994128688e+002°)
3.23593656929628e+000	(5.99998356015754e+001dB,1.79999993994643e+002°)
3.31131121482591e+000	(5.99998355994612e+001dB,1.79999993857661e+002°)
3.38844156139202e+000	(5.99998355972573e+001dB,1.79999993717683e+002°)
3.46736850452531e+000	(5.99998355949590e+001dB,1.79999993574652e+002°)
3.54813389233575e+000	(5.99998355925629e+001dB,1.79999993428512e+002°)
3.63078054770101e+000	(5.99998355900634e+001dB,1.79999993279203e+002°)
3.71535229097172e+000	(5.99998355874582e+001dB,1.79999993126667e+002°)
3.80189396320560e+000	(5.99998355847439e+001dB,1.79999992970845e+002°)
3.89045144994280e+000	(5.99998355819156e+001dB,1.79999992811676e+002°)
3.98107170553496e+000	(5.99998355789691e+001dB,1.79999992649100e+002°)
4.07380277804112e+000	(5.99998355758996e+001dB,1.79999992483058e+002°)
4.16869383470335e+000	(5.99998355727055e+001dB,1.79999992313486e+002°)
4.26579518801592e+000	(5.99998355693792e+001dB,1.79999992140325e+002°)
4.36515832240165e+000	(5.99998355659184e+001dB,1.79999991963512e+002°)
4.46683592150962e+000	(5.99998355623171e+001dB,1.79999991782986e+002°)
4.57088189614874e+000	(5.99998355585705e+001dB,1.79999991598683e+002°)
4.67735141287197e+000	(5.99998355546758e+001dB,1.79999991410542e+002°)
4.78630092322637e+000	(5.99998355506279e+001dB,1.79999991218500e+002°)
4.89778819368445e+000	(5.99998355464207e+001dB,1.79999991022493e+002°)
5.01187233627271e+000	(5.99998355420507e+001dB,1.79999990822458e+002°)
5.12861383991364e+000	(5.99998355375135e+001dB,1.79999990618333e+002°)
5.24807460249771e+000	(5.99998355328022e+001dB,1.79999990410054e+002°)
5.37031796370252e+000	(5.99998355279124e+001dB,1.79999990197558e+002°)
5.49540873857623e+000	(5.99998355228420e+001dB,1.79999989980781e+002°)
5.62341325190348e+000	(5.99998355175836e+001dB,1.79999989759660e+002°)
5.75439937337156e+000	(5.99998355121342e+001dB,1.79999989534132e+002°)
5.88843655355588e+000	(5.99998355064875e+001dB,1.79999989304132e+002°)
6.02559586074356e+000	(5.99998355006387e+001dB,1.79999989069598e+002°)
6.16595001861481e+000	(5.99998354945865e+001dB,1.79999988830465e+002°)
6.30957344480192e+000	(5.99998354883239e+001dB,1.79999988586671e+002°)
6.45654229034654e+000	(5.99998354818490e+001dB,1.79999988338150e+002°)
6.60693448007594e+000	(5.99998354751551e+001dB,1.79999988084841e+002°)
6.76082975391980e+000	(5.99998354682413e+001dB,1.79999987826678e+002°)
6.91830970918935e+000	(5.99998354611027e+001dB,1.79999987563596e+002°)
7.07945784384136e+000	(5.99998354537352e+001dB,1.79999987295533e+002°)
7.24435960074988e+000	(5.99998354461370e+001dB,1.79999987022421e+002°)
7.41310241300916e+000	(5.99998354383071e+001dB,1.79999986744196e+002°)
7.58577575029182e+000	(5.99998354302411e+001dB,1.79999986460791e+002°)
7.76247116628690e+000	(5.99998354219375e+001dB,1.79999986172139e+002°)
7.94328234724279e+000	(5.99998354133952e+001dB,1.79999985878171e+002°)
8.12830516164097e+000	(5.99998354046127e+001dB,1.79999985578820e+002°)
8.31763771102669e+000	(5.99998353955898e+001dB,1.79999985274013e+002°)
8.51138038202374e+000	(5.99998353863288e+001dB,1.79999984963678e+002°)
8.70963589956078e+000	(5.99998353768268e+001dB,1.79999984647742e+002°)
8.91250938133743e+000	(5.99998353670854e+001dB,1.79999984326129e+002°)
9.12010839355907e+000	(5.99998353571062e+001dB,1.79999983998758e+002°)
9.33254300796988e+000	(5.99998353468925e+001dB,1.79999983665550e+002°)
9.54992586021433e+000	(5.99998353364466e+001dB,1.79999983326420e+002°)
9.77237220955808e+000	(5.99998353257727e+001dB,1.79999982981281e+002°)
9.99999999999997e+000	(5.99998353148744e+001dB,1.79999982630040e+002°)
1.02329299228075e+001	(5.99998353037561e+001dB,1.79999982272603e+002°)
1.04712854805090e+001	(5.99998352924218e+001dB,1.79999981908870e+002°)
1.07151930523760e+001	(5.99998352808788e+001dB,1.79999981538736e+002°)
1.09647819614318e+001	(5.99998352691364e+001dB,1.79999981162091e+002°)
1.12201845430196e+001	(5.99998352571990e+001dB,1.79999980778819e+002°)
1.14815362149688e+001	(5.99998352450743e+001dB,1.79999980388798e+002°)
1.17489755493953e+001	(5.99998352327735e+001dB,1.79999979991900e+002°)
1.20226443461741e+001	(5.99998352203050e+001dB,1.79999979587989e+002°)
1.23026877081238e+001	(5.99998352076775e+001dB,1.79999979176923e+002°)
1.25892541179416e+001	(5.99998351949020e+001dB,1.79999978758550e+002°)
1.28824955169313e+001	(5.99998351819923e+001dB,1.79999978332712e+002°)
1.31825673855640e+001	(5.99998351689591e+001dB,1.79999977899240e+002°)
1.34896288259165e+001	(5.99998351558107e+001dB,1.79999977457957e+002°)
1.38038426460288e+001	(5.99998351425632e+001dB,1.79999977008677e+002°)
1.41253754462275e+001	(5.99998351292321e+001dB,1.79999976551204e+002°)
1.44543977074592e+001	(5.99998351158254e+001dB,1.79999976085332e+002°)
1.47910838816820e+001	(5.99998351023616e+001dB,1.79999975610842e+002°)
1.51356124843620e+001	(5.99998350888507e+001dB,1.79999975127508e+002°)
1.54881661891248e+001	(5.99998350753083e+001dB,1.79999974635090e+002°)
1.58489319246111e+001	(5.99998350617500e+001dB,1.79999974133338e+002°)
1.62181009735892e+001	(5.99998350481871e+001dB,1.79999973621992e+002°)
1.65958690743755e+001	(5.99998350346380e+001dB,1.79999973100777e+002°)
1.69824365246174e+001	(5.99998350211143e+001dB,1.79999972569408e+002°)
1.73780082874937e+001	(5.99998350076317e+001dB,1.79999972027590e+002°)
1.77827941003892e+001	(5.99998349942036e+001dB,1.79999971475012e+002°)
1.81970085860998e+001	(5.99998349808428e+001dB,1.79999970911354e+002°)
1.86208713666286e+001	(5.99998349675648e+001dB,1.79999970336284e+002°)
1.90546071796324e+001	(5.99998349543794e+001dB,1.79999969749456e+002°)
1.94984459975804e+001	(5.99998349413031e+001dB,1.79999969150515e+002°)
1.99526231496887e+001	(5.99998349283469e+001dB,1.79999968539090e+002°)
2.04173794466952e+001	(5.99998349155245e+001dB,1.79999967914803e+002°)
2.08929613085403e+001	(5.99998349028426e+001dB,1.79999967277261e+002°)
2.13796208950222e+001	(5.99998348903164e+001dB,1.79999966626061e+002°)
2.18776162394954e+001	(5.99998348779550e+001dB,1.79999965960787e+002°)
2.23872113856833e+001	(5.99998348657661e+001dB,1.79999965281013e+002°)
2.29086765276776e+001	(5.99998348537613e+001dB,1.79999964586302e+002°)
2.34422881531991e+001	(5.99998348419475e+001dB,1.79999963876204e+002°)
2.39883291901948e+001	(5.99998348303344e+001dB,1.79999963150261e+002°)
2.45470891568502e+001	(5.99998348189248e+001dB,1.79999962408002e+002°)
2.51188643150957e+001	(5.99998348077290e+001dB,1.79999961648947e+002°)
2.57039578276885e+001	(5.99998347967512e+001dB,1.79999960872602e+002°)
2.63026799189537e+001	(5.99998347859970e+001dB,1.79999960078467e+002°)
2.69153480392690e+001	(5.99998347754689e+001dB,1.79999959266029e+002°)
2.75422870333815e+001	(5.99998347651728e+001dB,1.79999958434765e+002°)
2.81838293126444e+001	(5.99998347551114e+001dB,1.79999957584142e+002°)
2.88403150312659e+001	(5.99998347452850e+001dB,1.79999956713616e+002°)
2.95120922666637e+001	(5.99998347356979e+001dB,1.79999955822635e+002°)
3.01995172040200e+001	(5.99998347263503e+001dB,1.79999954910633e+002°)
3.09029543251358e+001	(5.99998347172433e+001dB,1.79999953977038e+002°)
3.16227766016837e+001	(5.99998347083765e+001dB,1.79999953021263e+002°)
3.23593656929627e+001	(5.99998346997489e+001dB,1.79999952042714e+002°)
3.31131121482590e+001	(5.99998346913611e+001dB,1.79999951040784e+002°)
3.38844156139201e+001	(5.99998346832119e+001dB,1.79999950014858e+002°)
3.46736850452530e+001	(5.99998346752982e+001dB,1.79999948964307e+002°)
3.54813389233574e+001	(5.99998346676180e+001dB,1.79999947888493e+002°)
3.63078054770100e+001	(5.99998346601717e+001dB,1.79999946786764e+002°)
3.71535229097171e+001	(5.99998346529510e+001dB,1.79999945658460e+002°)
3.80189396320559e+001	(5.99998346459588e+001dB,1.79999944502906e+002°)
3.89045144994279e+001	(5.99998346391881e+001dB,1.79999943319417e+002°)
3.98107170553495e+001	(5.99998346326374e+001dB,1.79999942107293e+002°)
4.07380277804111e+001	(5.99998346263006e+001dB,1.79999940865824e+002°)
4.16869383470333e+001	(5.99998346201742e+001dB,1.79999939594285e+002°)
4.26579518801591e+001	(5.99998346142552e+001dB,1.79999938291937e+002°)
4.36515832240164e+001	(5.99998346085412e+001dB,1.79999936958029e+002°)
4.46683592150961e+001	(5.99998346030227e+001dB,1.79999935591794e+002°)
4.57088189614873e+001	(5.99998345976985e+001dB,1.79999934192450e+002°)
4.67735141287196e+001	(5.99998345925621e+001dB,1.79999932759202e+002°)
4.78630092322636e+001	(5.99998345876122e+001dB,1.79999931291236e+002°)
4.89778819368444e+001	(5.99998345828395e+001dB,1.79999929787726e+002°)
5.01187233627270e+001	(5.99998345782432e+001dB,1.79999928247824e+002°)
5.12861383991362e+001	(5.99998345738156e+001dB,1.79999926670670e+002°)
